,ppt,country_native,country_nonnative,decision_making,P2_Q4,P2_Q5,Flag_Aim,Decision_Making,Additional_Comment
22,45,Yorkshire,France,Based on the information given about the horses' success in training and prior races,To examine prejudices towards non-native speakers of English,,No,Speakers said,Accent
23,46,yorkshire,south asia,Based on how they said the horses performed in previous races,"To see whether people perceive the validity of advice to be different between people with different accents, and also possibly between confident speech and \um\ing speech",,Yes,Speakers said,Accent
24,52,Midlands,Bangladesh,Tried to listen to the most trustworthy raitings as I have no idea about horse racing,To see if people are biased towards native English speakers in trusting thier opinions,,No,Speakers said,Trustworthiness + Accent
25,54,UK,South Asia?,"I wasn't really sure about the different qualifications of each horse as I don't know anything so they seemed fairly even to me, so I just did 25 for each.",To consider peoples opinions of native vs non-native English speakers?,I think maybe a topic that is more common would get more accurate assessments of peoples biases against accented English? Especially for younger people I don't know anyone who bets on horses - unless that's the point of the study ?,No,Uncertainty,Accent
26,56,no,Italy,what the horse looked like,To determine how people perceive others ,,No,Image,N/A
27,57,Birmingham,Spain,I tried to distribute them based on how confident the speakers sounded about them and how confident the trainers sounded about them.,To see if people judge information coming from native and non-native speakers differently. ,,No,Confidence,Accent
28,58,Scotland,Spain,"Based on description, but didn't want to bet too highly on first horse",,,No,Speakers said,N/A
29,59,Yorkshire,Eastern Europe - couldn't say a country,"I trusted the third speaker the most so I put the most on that horse, then distributed the remainder evenly between the other three.","How much people trust native vs non-native speakers of English, including native speakers with strong regional accents.",,No,Speakers said,Trustworthiness + Accent
30,62,Northern England,Spain,By listening to the successes of each horse,To determine if people find native or non native accents more trustworthy,,No,Speakers said,Trustworthiness + Accent
31,63,No,No,I just went for which horses sounded best,,,No,Speakers said,N/A
32,65,northern England,unsure,I tried to use the information given from the tipsters to decide how much to allot for each bet,T,,No,Speakers said,N/A
33,66,Sheffield,Spain,"I decided to give more money to the horses that seemed to have more objective good traits, not just the good opinions of the trainer, and to the ones the speakers seemed the most passionate or enthusiastic about.",To see if our biases around accents change how reliable or intelligent we perceive someone to be.,,No,Speakers said,Accent
34,67,Yorkshire,France,"Confidence in the descriptions, lack of fillers, as well as speed of the descriptions",,,No,Delivery,N/A
35,68,North England/Scotland,Potentially a west asian count,By the content of the messages and somewhat the name influenced it/,To see what the difference a native speaker vs non native speaker has on the influence of information,,No,Speakers said,Accent
36,69,England,No idea (terrible with accents),I just listened to the information given and judged whether the horse was likely to win,,,No,Speakers said,N/A
37,70,Northern England,France,Based on the information they provided,To see if people find native speaker more trustworthy ,,No,Speakers said,Trustworthiness + Accent
38,71,Englans,No,Based on the likelihood of success,to see whether native language spoken influences peoples behaviour and or trust,,No,Speakers said,Accent
39,73,United Kingdom,"Ethnicity-wise, India","How many positive things were said about the horse, and I was careful and lower in the beginning as I hadn't heard the rest. It was hard because I wasn't sure if I'd get to the end and the last ones would be the worst choices, when I'd already spent lower money on the better ones.","Possibly to figure out if people bet more on the horses that were introduced by the non-native speaker, finding prejudice or irritation.","I selected I would prefer to hear from the native speaker, only because it was easier to understand. I didn't feel any issue with the non-native speaker other than that, and that's personal to me, not a fault of theirs.",No,Speakers said,Accent
40,74,uk,france,"on how positive the speaker sounded, no hesitation",not sure ,,No,Speakers said,N/A
41,75,Yorkshire,Italy,If the speaker sounded like they knew what they were talking about,to see if we are more likely to bet if the speaker sounds like they know what they are talking about,,No,Speakers said,Confidence
42,79,Scotland,Poland,Simply based on how they made me feel,"If speaker's enthusiasm, percieved compentency, and accent affect participant confidence in what the speaker is saying. ",,No,Feelings,Accent
43,80,Spain,Leeds,based on how much i could understand and how much information was given about each of the horses past races and where they finished ,seeing whether people find foreign or non-foreign accents more reliable and prefferable,,No,Speakers said,Accent
44,82,Scotland,South Asia,I decided to keep the guaranteed £100 because betting isn't smart,Study biases against accented English,The native speaker was slow and 'ummed' a lot so she sounded less competent,No,N/A,Accent
45,84,asia,north england ,based off the descriptions of the horses and how they did ,to see if there is a bias between native and none native speakers when deciding value propositions ,,No,Speakers said,Accent
46,85,UK,Spain,I bet more on the ones that sounded better,see how people use their money when betting,,No,Speakers said,Betting behaviour
47,88,Scotland,Spain,Based on what the speakers were saying and how well versed they sounded.,Find out which voice people find more trustworthy,,No,Speakers said,Trustworthiness
48,89,northern england,india/pakistan ,names of horses,to see if people prefer native or non native accents,,No,Names,Accent
49,90,England,No,Went equal,Difference of advise between native and non native,,No,N/A,Accent
50,92,The Uk,India,based on how well i understoon the information spoken by the speaker,To examine how accents can alter our judgement of information,,No,Speakers said,Accent
51,93,North,Italy,How confident the bookies sounded plus the performance described of the horses,Do we find native speakers/familiar accents more trustworthy,,No,Speakers said,Trustworthiness + Accent
52,97,The north of England,Eastern Europe,Pure chance,To tell if someone trusts a native voice or a non-native voice more,,No,N/A,Trustworthiness + Accent
53,99,Manchester,Italy,Based on what the speaker said about the horses,to investigate what factors people consider when assessing how to place a bet,,No,Speakers said,Betting behaviour
54,100,"Was not paying attention to the accent, just the words that were being said",Maybe a Latinate country,"Based on the history of the horses, two were young and new to the races, one had just come back from a break but was doing really well and the other had a surprising good finish in the previous race.",To assess people's unconscious perception of accents.,When answering the question \which would you prefer to listen to\ there was no option for 'I don't mind' or 'both' which is what I would have liked to have put.,No,Speakers said,Accent
55,101,Manchester,Spain,on what was said about the horses,difference in native v non-native speakers in successfully delivering information,,No,Speakers said,Accent
56,102,England,Spain,Based on the info the people told me,To see if accents change opinions on information,,No,Speakers said,Accent
57,103,Scotland,Spain,tried to understand the points they were making,interpretation of different accents,,No,Speakers said,Accent
58,104,Scotland/North of England,Italy,Evenly,Look at perceptions of native English speakers to native and non-native English speakers,,No,N/A,Accent
59,106,English,African,"Just from the information gained, as well as wanting to spreading out the bets.",How trustworthy and receptive are we of non-native speakers compared to native speakers.,,No,Speakers said,Trustworthiness + Accent
60,108,England,Italy,on the horses previous performance,Attitudes towards people from different countries based on their accent,,No,Speakers said,Accent
61,111,the north of england,france,almost equally,to explore attitudes of british citizens towards non native english speakers,,No,N/A,Accent
62,114,no,no,based on the information provided about the horse and how it was doing,to see if having a non-native speaker affects how people view the trustworthiness of their information,,No,Speakers said,Trustworthiness + Accent
63,115,England,France,"None of them really sounded more promising than the other, so I bet them all equally",To decide how trustworthy or educated people with different accents are,,No,N/A,Trustworthiness + Accent
64,117,Yorkshire/North England,Somewhere in France,Mostly the content of what was said about the horses and how I expected they would perform,To gauge whether foreign/native accents can effect perception of honesty and trustworthiness when receiving information,The tone the recordings was quite improvisatory - like they were trying to come up with the information on the spot. Led me to think the information was slightly arbritrary rather than concrete. The shaking/slight stuttering slightly contributed to this.  ,No,Speakers said,Trustworthiness + Accent
65,119,Scotland,France,25% each,Ti see if your opinoun changed based on the speaker,"I thought it said you could leave some £ leftover so i did, but im not sure what leaving those £s did. Did they go to a non-selected horse?",No,N/A,Accent
66,120,Lancashire,Spain,the information provided by the speakers,,,No,Speakers said,N/A
67,122,UK,No idea - India? ,"I wanted the bets to be balanced across the four, but I tried to distribute according to the intel provided by the speakers",To assess the impact of a non-native accent on how trustworthy/expert someone is perceived.,,No,Speakers said,Trustworthiness + Accent
68,124,Northern England,Spain,Based on how reliable I thought they sounded,Unsure,,No,Reliabity,N/A
69,126,Not sure,Not sure,i bet conservatively because the information was very vague ,unsure,,No,Speakers said,N/A
70,128,England,Spain,On how confident and clear the speaker was and how talented the horse sounded,See how we perceive information from native or non native speakers,,No,Speakers said,Accent
71,129,South England,Eastern Europe,"I didn't really understand much of the horse racing lingo, so I just tried to decide based on how positive the experts sounded",Trustworthiness of advice based on accent,,No,Speakers said,Trustworthiness + Accent
72,132,England,France,By the information provided,To test if people process information differently dependent on accents ,,No,Speakers said,Accent
73,135,Romania ,Surrey,I listened to how well the horses run and how well the coaches thought their horse would run and bet accordingly. ,To see how people listen to and take advice from native and non-native speakers ,,No,Speakers said,Accent
74,136,England - Leeds?,Spain/India,even bets on all as non stood out from each other,to see if accent influences a persons decision,,No,Speakers said,Accent
75,137,Spain,Manchester,Based it off the more descriptive info about the horses,Not sure,,No,Speakers said,N/A
76,138,Scotland,France,"I went primarily on how how confident the speaker sounded, and then the tips they were going secondary to that ",,,No,Delivery,N/A
77,139,France?,France?,The history and success of the horses,To see if accents/language can impact financial decisions e.g. betting?,,No,Speakers said,Accent
78,140,United Kingdom,Japan,Based on the descriptions of the horse's success,,,No,Speakers said,N/A
79,141,No,No,Based on what they said,I don't know ,,No,Speakers said,N/A
80,143,northern england,france or spain,Distrubuted my bets in accordance with the information provided. None of the speakers seemed particularly enthused about a winner and sounded like they were reading from a clipping from a bet slip on the horse.,To see if bias in accent influences trustworthiness in regards to spending money or seeking advice,,No,Speakers said,Trustworthiness + Accent
81,145,UK,France,Just random,How youd place bets based on whether someone has a  native or non native accent,I couldn't change bets made on the horses after i had done them which was a shame,No,N/A,Accent
82,146,Yorkshire,Spain,Based on the prior achievements of the horses.,To see the impact that non-native vs native speaker has on the ability to influence people.,,No,Speakers said,Accent
83,147,Spain,Manchester,Based on that I didn't know what would be said about the next horse,To understand people's perception of accents,,No,N/A,Accent
84,148,England?,Somewhere in Eastern Europe? ,Evenly ,To see if native speaker influences bias in betting?,,No,N/A,Accent
85,149,Yorkshire,France,How best i understood them,To see if how something is presented effects the chance of choosing something,,No,Speakers said,Betting behaviour
86,150,Scotland,Spain,Previous results of horses,,,No,Speakers said,N/A
87,152,Southern Scotland,My gut tells me it was someone from England doing an exotic accent,Based on the image of the horse and informed by the statistics given.,To check how accents inform our perceptions of others.,,No,Speakers said,Accent
88,153,england,argentina,How enthusiastic the language was,to see if you voted differently depending on the familiarity of the accent,,No,Delivery,Accent
89,154,sussex,spain,I was impressed with the first horse and felt he was the most promising ,to see if you favour the horse based on the speaker,,No,Speakers said,Accent
90,155,Yorkshire,Spain,Based on what they said about the horses,Judging people's accents,,No,Speakers said,Accent
91,156,England,France,Based on how confident the speaker sounded giving the information,To determine if those native English speakers will trust a native speaker more,,No,Delivery,Trustworthiness + Accent
92,157,Eastern europe,Scotland,The horses in which the speakers had more \umms\ and \ahhs\ sounded less convincing,To see the correlation between different accents and how they affect our decision making,,No,Delivery,Accent
93,159,Scotland,Poland,On what the speakers were describing in terms of how prepared the horses and riders were.,To investigate whether native speakers are perceived differently (maybe more trustworthy etc.) compared to non-native speakers.,,No,Speakers said,Trustworthiness + Accent
94,162,england,France,from how good the horses were decribed ,if we trust non native information,,No,Speakers said,Trustworthiness + Accent
95,164,England,France,Randomly,To determine how people utilise betting advice based on who its from,,No,N/A,Accent
96,166,The UK,France,"Mostly quite even, except for Apocalypse because I liked the name and the description mentioned about the terrain",To identify whether native vs non-native impact people's trust in experts and whether accent plays a part,,No,N/A,Trustworthiness + Accent
97,168,UK,Europe,based on prior success of the horses,whether people trust information from native speakers more than from non-native speakers,,No,Speakers said,Trustworthiness + Accent
98,169,North England,Spain,From descriptions and appearances.,,,No,Speakers said,N/A
99,171,England,France,By how successful they described the horse,To see how people view native / non native speakers,,No,Speakers said,Accent
100,173,spain,northern england,previous results,find out about preconceptions of native vs non native speakers,,No,Speakers said,Accent
101,174,London,France,based on information given and name of horse,How reliable/intelligent we think someone is based on accent,,No,Speakers said,Accent
102,175,Scotland,France,Based on what the experts said,,,No,Speakers said,N/A
103,177,Silver Sky,The other three horses,Based on how well the horse performed in the past,How well the speakers words come across to make better informed decisions on the horses. ,,No,Speakers said,Clarity
104,178,Englad,Sweden,I based it off the horses recent performance,To study how different accents affect how much we trust information given to us,,No,Speakers said,Trustworthiness + Accent
105,183,No,No,Based on the facts,I am unsure,NA,No,Speakers said,N/A
106,186,North West,no,what they said about performance,something about trusting native vs non natives when given information,,No,Speakers said,Trustworthiness + Accent
107,188,Italy,Manchester,"Trying to find key words, like win, excellent, improved ",The trustworthiness of tipster,,No,Speakers said,Trustworthiness
108,190,UK - Northern,Unsure,Based on their information,How people view non native speakers ,,No,Speakers said,Accent
109,191,Scotland,Spain,Based on the horses' past performances,Do people trust native or non-native speakers more?,,No,Speakers said,Trustworthiness + Accent
110,192,No,No,How promising the horses seemed,Whether people with english as a first language trust native speakers more than non-native,,No,Speakers said,Trustworthiness + Accent
111,193,England,France,Based on the testimony of the speakers and their confidence in each horses' ability,,,No,Speakers said,N/A
112,194,France,England,"I couldn't understand a lot of the horse jargon so I picked out whether they said the horse had won a race, been runner up, in third place etc. Gave the most money (£60) to the horse who previously came in first place and £40 to the one who had been runner up. Nothing to the others.",To see if you spend less money based on the advice of the non-native speaker,,No,Speakers said,Accent
113,195,No,France?,Even spread,To see whether people are more or less likely to trust native or non-native speakers and whether confidence of delivery affects this.,,No,N/A,Trustworthiness + Accent
114,196,Yorkshire,Spain or Italy,Bit of guess work more than listening to what the commentators were saying. Was hard to concentrate on what they said cause it was like they were bad at reading.,Comparing native and non-native accents,,No,Speakers said,N/A
115,198,england,france,based on information,impact of accent on decision making,,No,Speakers said,Accent
116,200,North of England,France,Based on the confidence of the speaker voice,to investigate the impact of accents on perception,,No,Confidence,Accent
117,201,United Kingdom,South America ,Based on the information provided by the speakers and how I inerpreted it.,To see people's perception of accented speech vs. non-accented speech.,,No,Speakers said,Accent
118,202,no,no,equally because i dont know anything about horses,differing bet values based on the accent ,,No,N/A,Accent
119,205,london,turkey,based on the information given,to understand how people feel towards different accents,,No,Speakers said,Accent
120,207,North England,France,Description of the horses and how enthusiastic the speaker sounded,To tell if people are more likely to listen to a native speaker or non-native speaker,,No,Speakers said,Accent
121,208,glasgow,poland,mostly guess work,how you interpret voices,,No,Speakers said,N/A
122,211,England,Indonesia,"Didn't feel confident in the first 3 horses, but felt like playing anyway so just put some money on the last horse.",,,No,N/A,N/A
123,213,scotland,india,based on the length/description of the speaker,the difference between native and non native speakers,,No,Speakers said,Accent
124,218,North somewhere ,No,"Not a lot of strategy, just going for it, none stuck out more than others ",Unsure ,,No,N/A,N/A
125,221,United Kingdom,Latvia,Mostly Evenly ,Finding if voices affect peoples perspective.,,No,N/A,Accent
126,223,Scotland,India?,"The only useful information I got was regarding the 4th horse, Apocalypse. Apparently he did very well elsewhere, so based on that I gave him the majority bet. The second horse had basically no information besides \he did better than we thought he would\, which didn't inspire confidence.",Something about accent bias in the way we take in information; we may be more inclined to believe people who sound like us.,No thank you,No,Speakers said,Accent
127,225,Yorkshire,France,I imagined how I would approach it if it were me and when I discoverd that I didn't have to bet it all I decided I would prefer to keep the entire £100 and not bet.,To find biases against accents,,No,N/A,Accent
128,226,leeds,france,"i listened to the tips, the horses with better information about how they perform got a higher bet",to see if anyone struggled understanding the accents,,No,Speakers said,Accent comprehensibility
129,227,No,England,I didn't really have a strategy. Just based my bets on the information provided and what I could understand/,I'm not sure.,,No,Speakers said,N/A
130,228,Not sure,England?,How successful they said the horses had been recently,To see how people bet based on the voice they was listening to?,,No,Speakers said,Accent
131,229,Bolton,Turkey,Based on the recent race placements I heard within each of tipsters reportsthe ,To see whether the accent influences the perception of trustworthyness/reliability of information,,No,Speakers said,Trustworthiness + Accent
132,230,England,France,based on past performance and the speakers use of positive words,assess how we associate character with differing accents,,No,Speakers said,Accent
133,231,no,no,evenly,,,No,N/A,N/A
134,233,yorkshire/newcastle,spain,Based on what was said about them,to judge how people listen to native and nonnative speakers,,No,Speakers said,Accent
135,234,England,India,Evenly across it all,perceptions of different accents,,No,N/A,Accent
136,236,Midlands,No,I decided to distribute my bets on how the horses were described in terms of strength and liklihood of success in this type of race.,To determine whether people would put more trust in the native speaker or the non native speaker.,,No,Speakers said,Trustworthiness + Accent
137,238,Leeds,No,By how much I understood from what they were saying,,,No,Speakers said,N/A
138,239,"Midlands, England",Spain/ Portugal,Language they used ,whether accents implicated trust ,,No,Speakers said,Trustworthiness + Accent
139,241,Northern England,France,Based on how positive the speaker appeared to be when talking about the horse,How different accents can influence your judgement of a person,,No,Speakers said,Accent
140,243,Northern England,Spain/Italy,Overall relativley equally distributed but slightly higher/lower depending on descriptions of speaker's,Trustworthiness depending on the speaker being native or non-native,,No,Speakers said,Trustworthiness + Accent
141,247,yorkshire,spain,the descriptions of the horses,to see opinions and trust on non-native english vs accented english ,,No,Speakers said,Trustworthiness + Accent
142,249,Scotland,Poland,What was said about each horse by the speaker,Whether we listen more to a native speaker over a non-native speaker,,No,Speakers said,Accent comprehensibility
143,251,Ireland,India,Based on horse names,Unsure,,No,Names,N/A
144,252,"Somewhere in the UK, possibly North England?",Spain or Eastern Europe?,"I struggled to understand the accent and picked up more words from the native English speaker, they also sounded slightly more enthusiastic",To study whether a foreign accent has a negative effect on decisions?,,No,Speakers said,Accent
145,253,England,Spain,By how positive the speakers sounded,to test how different accents affect perception,,No,Speakers said,Accent
146,254,England,France,Mainly based on the positive words used for each horse,Unsure,,No,Speakers said,N/A
147,256,Scotland,Portugal,The information given about the horses positions in previous races,To determine if people are biased towards the information given by non-native speakers.,,No,Speakers said,Accent
148,258,Yorkshire,Spain,I based them on which speaker was more professional.,To see how accents affect individual decisions.,,No,Speakers said,Accent
149,259,England,Belgium,"By what each expert said, and how confident they sounded. For example, saying \I think...\ doesn't sound fully confident, especially from a horse-racing expert.","To examine people's judgement of information when given in different accents, native or non-native.",,No,Speakers said,Accent
150,260,"Yorkshire, England",France,By how promising the horse sounded,"To gauge how people perceive how trustworthy an individual is, based on how well they can understand what they are saying",,No,Speakers said,Trustworthiness + Accent
151,261,england,india,on what they said about the horse itself,see if non native views change peoples views?,,No,Speakers said,Accent
152,262,scotland,italy,how well i thought the horse would do,not sure,,No,Speakers said,N/A
153,263,yorkshire,no,evenly to increase chances,to assess accent and influence in trust around gambling decisions,,No,N/A,Trustworthiness + Accent
154,265,England,No,Based on the confidence of trust in the horse,,,No,Confidence,N/A
155,266,England,Poland,Wait until they all had finished speaking then bet,attitudes towards different speaking people,,No,Speakers said,Accent
156,267,Yorkshire,Germany,What had been said about the different horses,to see whether a non-native english speaker impacts on how people make bets,,No,Speakers said,Accent
157,268,north england,spain,"40,20,20,20",no idea,no,No,N/A,N/A
158,269,London,Italy,From horses experience told by the speakers,About accents of non natives and natives when listening to information,n/a,No,Speakers said,Accent
159,271,Spain,Scotland,Trainers comments,trustworthiness ,,No,Speakers said,Trustworthiness
160,272,Scotland,Spain,I just went with my gut feeling,Unsure,,No,N/A,N/A
161,273,no,no,based on what they said bout the horse and their confidence ,not sure,,No,Speakers said,N/A
162,274,Yorkshire,Sweden,How confident the speaker sounded in their horse,To see whether a familiar accent would cause a listener to trust someone more.,,No,Confidence,Trustworthiness + Accent
163,275,manchester,not sure,evenly,not sure,,No,N/A,N/A
164,278,Scotland ,Norway ,the ones i was attracted to got a higher price on them ,i think its to do with native and non native language and descriptions and how that would influence ones decision ,great survey ,No,Attraction,Accent
165,279,Midlands,Spain,"More on the less chopped up sounds, native or non-native, less on the one that i coudl ehar the sound had been chopped to remove ums/buts",If non-native accents affects our biases,,Yes,Delivery,Accent
166,280,Not sure,Somewhere in Poland,Almost completely randomly.,,,No,N/A,N/A
167,282,England,Spain,Based on how positive the recording was,To see if people are biased towards the native speaker and bet more on the horses they describe,,No,Speakers said,Accent
168,284,north england,japan,based on the information I was provided,how non-native and native speakers impact decisions,,No,Speakers said,Accent
169,285,yorkshire,poland,flanks,pregerditial attitude to non native speakers,,No,Speakers said,Accent
170,286,Manchester,Poland,What positives I understood most,Understand the influence of languages and accents,,No,Speakers said,Accent
171,290,England,Spanish,"On fluency, one of them kept being broken up saying emmm, didnt sound like she was confident with what she was talking about",How we interpret different accents,,No,Delivery,Accent
172,293,Oxford,France,By the descriptions of the horses,to see how people perceive native and non-native English speakers ,,No,Speakers said,Accent
173,294,"South of England, UK",Brazil,By how many positive things I heard about the horses,if accents affect outcome  ,,No,Speakers said,Accent
174,296,France,England - not sure where exactly,Based on what the speakers said,See if you prefer and trust native or non-native speakers more,,No,Speakers said,Trustworthiness + Accent
175,299,No. Sorry,No. Sorry,Purely guesswork.,If I made better decisions when listening to the native speaker?,,No,N/A,Accent
176,302,England,Spain,"I chose the horse that sounded successful, and which they were describing as not so successful or I couldn't get enough information from ",To see if I would bet less with less understanding of what was said,,No,Speakers said,Comprehension
177,303,England ,Spain,I tried to distribute equally but increased the amount slightly if the speaker gave confident sounding stats.,,,No,Speakers said,N/A
178,304,UK,no,The description,unsure,,No,Speakers said,N/A
179,306,England,France,I went off the advice given ,To see if where someone is from impacts if you listen to them ,,No,Speakers said,Accent
180,307,Southampton,Germany,Based on information given by speaker,See whether we put more money on a clearer speaker as opposed to actual facts about the horse,,No,Speakers said,Delivery
181,308,Yorkshire,India,based on what they said and how confident it sounded ,to see how different accent will make a difference to how we bet,,No,Speakers said,Accent
182,309,russia ,england ,with the information provided weighing pros and cons ,to listen to the descriptions and base a bet onto who i think would have highest earnings  ,,No,Speakers said,Betting behaviour
183,310,I don't know,I don't know,I went based off the feedback given on the horses,,,No,Speakers said,N/A
184,311,North England,Spain,I tried to follow what they were saying about horses though I struggled as I didn't understand a lot of the context,See if we are more likely to bet on the native speaker's horses as we view them as more competent and trustworthy as well as educated,N/A,No,Speakers said,Trustworthiness + Accent
185,313,Bradford,India,Whether the language sounded confident,how accents influence decision making,,No,Confidence,Accent
186,314,UK,Brazil,"based on the information given, rather than by the accent or speaker",to see if accent affected interest and influences bets?,it was an interesting study,No,Speakers said,Accent
187,315,spain,united kingdom,on how well the horses have done in the previous races,to place your bets on each of the horses the native and non native speaker describes them ,great survey,No,Speakers said,Accent
188,316,England,Poland,Based on the information given to me,To see how people's level of understanding/feelings toward non-native and native speakers effects how they would distribute money,,No,Speakers said,Accent
189,318,somewhere down south,A european country,Based on what the speakers said,Not quite sure,,No,Speakers said,N/A
190,319,England,France,On who they said performed best recently.,No idea.,,No,Speakers said,N/A
191,320,UK,Italy,Which horse had been on good form,,,No,Speakers said,N/A
192,323,Wales,Poland,I listened to the description given for each horse and decided based on how the description made them sound,To see if native speaker can influence peoples decisions more,,No,Speakers said,Accent
193,326,Bradford,French,Horse number 3 had more memorable positive words. Found it hard to understand the non-native especially with the first horse,How easy it is to make a decision based on the positive words you hear,Before the recording started the top images covered the last bit of instructions.,No,Attraction,Accent
194,328,England,No idea,Evenly but more towards the better sounding horses,To see if we are more inclined towards english sounding people.,,No,Speakers said,Accent
195,329,Spain,Manchester,The horse described in the most positive way was where I put most of the money,To see if people trust the native accent more. ,,No,Speakers said,N/A
196,331,Yorkshire?,Israel?,To be honest I was quite influenced by the pictures and names of the horses!,TO look at subconscious biases based on accents and linguistic ability.,"The native speaker was slow, did not sound like they knew what they were talking about. lots of ums.",No,Names,Accent
197,333,England,Belgium,"30, 30, 15, 25 going off key words used.",Potentially something about using advice from a native and a non-native speaker,N/A,No,Speakers said,Accent
198,334,No,England,I listened carefully to the descriptions and tried to gauge which action would be best.,To see how people respond to fluent and non-fluent speakers when making a judgement. ,,Yes,Speakers said,Delivery
199,335,No,No,Most confident statment,preferance on race,na,No,Speakers said,Accent
200,336,Southern England,France,I did equal bets for each horse,If we are biased towards non native speakers,,No,N/A,Accent
201,338,Manchester,Spain,"Based on the strength of the horse, i.e. less money for one that seems more likely to be runner-up",To see if we find non-native accents less trustworthy or reliable,,No,Speakers said,Trustworthiness + Accent
202,340,UK,Spain,I went with the information given and the confidence that I felt from the facts given to me,To see if non-native speakers and native speakers have a different level of trustworthiness  ,n/a,No,Speakers said,Trustworthiness + Accent
203,341,northern England,italy,"I put a lower amount on each, based on the fluency of the speaker talking and tried to put an even amount on each but little enough that I wouldn't be upset if I lost ",to see if people favour native or non native speakers,,No,Delivery,Accent
204,342,Poland,Manchester,I distributed them equally as it was the easiest to do.,The aim was to see if there was much of a difference between the native and non native English speaker.,,No,N/A,Accent
205,343,"Not sure, honest!",England,"Listened to what they said and thought about whether it seemed likely or not it would win, really.",,,No,Speakers said,N/A
206,348,UK,eastern europe,"Where the strongest recommendations were, with smaller placed on those more in question",Confidence in the ability of non-native speakers?,,No,Speakers said,Accent
207,349,England,Portugal,Just on how well the speaker advocated for the horse,Whether where a speaker is from has any impact on how trustworthy they are,N/A,No,Speakers said,Trustworthiness + Accent
