"","ppt","competent","smart","educated","intelligent","successful","sociable","friendly","nice","honest","pleasant","irritated","interested","enthusiastic","frustrated","annoyed","happy","trustworthy","easy","fluent","strong","affect","status","solidarity","country_native","country_nonnative","learn_future","P1_Q4","P1_Q5","decision_making","P2_Q4","P2_Q5","bet_before","expertise_betting","IN_ANALYSIS_AUDIO","IN_ANALYSIS_EXPERTISE","naturalness","exposure","speaker"
"20",40,6,7,7,6,4,5,7,9,7,6,7,5,3,5,7,6,7,3,2,8,5.5,6,6.8,"Scotland","Poland","Native speaker","No","1","Based on the information given by the speakers.","To better understand how accents/fluency affect people's perception of intelligence/knowledge.","","No","1","Yes","Yes",7,5,"nonnative"
"21",43,3,6,4,5,5,4,4,6,9,3,3,3,1,4,4,5,9,7,7,7,3.33333333333333,4.6,5.2,"Manchester","Spain","Non-native speaker","No","1","Based on which horse sounded the most likely to win","To determine how people percieve different accents","","No","1","Yes","Yes",9,9,"native"
"22",45,9,7,8,8,8,3,5,5,5,5,9,3,1,9,9,5,9,7,9,7,6,8,4.6,"Yorkshire","France","Native speaker","No","1","Based on the information given about the horses' success in training and prior races","To examine prejudices towards non-native speakers of English","","No","1","Yes","Yes",7,9,"native"
"23",46,5,5,5,5,5,3,3,3,5,4,9,3,2,9,9,2,6,9,9,6,5.66666666666667,5,3.6,"yorkshire","south asia","Non-native speaker","No","1","Based on how they said the horses performed in previous races","To see whether people perceive the validity of advice to be different between people with different accents, and also possibly between confident speech and \um\ing speech","","No","1","Yes","Yes",7,9,"native"
"24",52,6,8,6,6,7,8,5,4,5,5,3,6,4,5,4,6,7,8,6,4,4.66666666666667,6.6,5.4,"Midlands","Bangladesh","Non-native speaker","No","1","Tried to listen to the most trustworthy raitings as I have no idea about horse racing","To see if people are biased towards native English speakers in trusting thier opinions","","No","1","Yes","Yes",8,9,"native"
"25",54,9,8,7,7,8,5,5,5,4,6,9,4,2,9,9,4,6,9,9,7,6.16666666666667,7.8,5,"UK","South Asia?","Native speaker","No","1","I wasn't really sure about the different qualifications of each horse as I don't know anything so they seemed fairly even to me, so I just did 25 for each.","To consider peoples opinions of native vs non-native English speakers?","I think maybe a topic that is more common would get more accurate assessments of peoples biases against accented English? Especially for younger people I don't know anyone who bets on horses - unless that's the point of the study ?","No","1","Yes","Yes",6,9,"native"
"26",56,5,5,5,5,5,3,6,7,5,5,3,3,1,3,3,2,5,8,8,6,2.5,5,5.2,"no","Italy","Native speaker","No","1","what the horse looked like","To determine how people perceive others ","","No","1","Yes","Yes",5,9,"native"
"27",57,7,7,7,7,8,7,7,8,9,8,7,6,6,7,7,3,6,3,9,7,6,7.2,7.8,"Birmingham","Spain","Non-native speaker","No","1","I tried to distribute them based on how confident the speakers sounded about them and how confident the trainers sounded about them.","To see if people judge information coming from native and non-native speakers differently. ","","No","1","Yes","Yes",7,6,"nonnative"
"28",58,6,7,7,7,7,7,7,7,6,7,8,6,6,8,8,7,7,8,7,7,7.16666666666667,6.8,6.8,"Scotland","Spain","Non-native speaker","Yes","1","Based on description, but didn't want to bet too highly on first horse","","","Yes","1","Yes","Yes",7,5,"nonnative"
"29",59,7,6,6,7,6,2,3,5,6,6,6,3,2,4,5,5,6,7,6,6,4.16666666666667,6.4,4.4,"Yorkshire","Eastern Europe - couldn't say a country","Native speaker","No","1","I trusted the third speaker the most so I put the most on that horse, then distributed the remainder evenly between the other three.","How much people trust native vs non-native speakers of English, including native speakers with strong regional accents.","","No","1","Yes","Yes",6,6,"native"
"30",62,7,9,9,9,7,4,8,8,9,7,9,6,6,9,9,5,9,6,8,8,7.33333333333333,8.2,7.2,"Northern England","Spain","Native speaker","No","1","By listening to the successes of each horse","To determine if people find native or non native accents more trustworthy","","No","1","Yes","Yes",6,2,"nonnative"
"31",63,7,7,7,7,7,4,5,5,5,5,7,6,6,7,7,6,7,5,5,7,6.5,7,4.8,"No","No","Native speaker","Yes","1","I just went for which horses sounded best","","","Yes","1","Yes","Yes",5,6,"nonnative"
"32",65,7,7,6,7,7,2,2,3,6,3,7,4,4,8,8,5,7,8,9,5,6,6.8,3.2,"northern England","unsure","Non-native speaker","No","1","I tried to use the information given from the tipsters to decide how much to allot for each bet","T","","No","1","Yes","Yes",5,9,"native"
"33",66,4,4,6,5,5,4,4,5,6,4,8,5,3,8,9,3,7,8,9,5,6,4.8,4.6,"Sheffield","Spain","Non-native speaker","Yes","1","I decided to give more money to the horses that seemed to have more objective good traits, not just the good opinions of the trainer, and to the ones the speakers seemed the most passionate or enthusiastic about.","To see if our biases around accents change how reliable or intelligent we perceive someone to be.","","Yes","1","Yes","Yes",8,9,"native"
"34",67,8,8,9,9,8,6,8,8,7,8,8,7,8,7,8,5,8,6,7,7,7.16666666666667,8.4,7.4,"Yorkshire","France","Non-native speaker","No","1","Confidence in the descriptions, lack of fillers, as well as speed of the descriptions","","","No","1","Yes","Yes",8,2,"nonnative"
"35",68,8,8,7,8,7,7,7,9,8,8,9,7,6,9,9,8,7,7,8,4,8,7.6,7.8,"North England/Scotland","Potentially a west asian count","Native speaker","Yes","3","By the content of the messages and somewhat the name influenced it/","To see what the difference a native speaker vs non native speaker has on the influence of information","","Yes","3","Yes","Yes",8,9,"nonnative"
"36",69,8,8,8,8,8,7,8,8,9,8,9,7,7,9,9,7,9,8,8,3,8,8,8,"England","No idea (terrible with accents)","Non-native speaker","No","2","I just listened to the information given and judged whether the horse was likely to win","","","No","2","Yes","Yes",7,3,"nonnative"
"37",70,7,6,7,7,7,5,6,7,6,6,7,5,4,8,8,6,5,8,8,6,6.33333333333333,6.8,6,"Northern England","France","Native speaker","No","1","Based on the information they provided","To see if people find native speaker more trustworthy ","","No","1","Yes","Yes",6,8,"native"
"38",71,7,7,7,7,6,3,6,6,8,8,7,4,2,4,4,5,8,4,5,7,4.33333333333333,6.8,6.2,"Englans","No","Native speaker","No","1","Based on the likelihood of success","to see whether native language spoken influences peoples behaviour and or trust","","No","1","Yes","Yes",8,2,"nonnative"
"39",73,8,8,8,8,8,8,8,8,8,8,9,8,7,9,9,5,8,6,7,7,7.83333333333333,8,8,"United Kingdom","Ethnicity-wise, India","Native speaker","No","1","How many positive things were said about the horse, and I was careful and lower in the beginning as I hadn't heard the rest. It was hard because I wasn't sure if I'd get to the end and the last ones would be the worst choices, when I'd already spent lower money on the better ones.","Possibly to figure out if people bet more on the horses that were introduced by the non-native speaker, finding prejudice or irritation.","I selected I would prefer to hear from the native speaker, only because it was easier to understand. I didn't feel any issue with the non-native speaker other than that, and that's personal to me, not a fault of theirs.","No","1","Yes","Yes",6,7,"nonnative"
"40",74,6,7,7,7,5,7,7,7,5,7,4,6,3,3,5,4,7,4,6,8,4.16666666666667,6.4,6.6,"uk","france","Native speaker","Yes","1","on how positive the speaker sounded, no hesitation","not sure ","","Yes","1","Yes","Yes",5,3,"nonnative"
"41",75,2,4,5,4,3,6,6,6,5,4,2,6,6,4,5,4,6,2,5,4,4.5,3.6,5.4,"Yorkshire","Italy","Native speaker","No","1","If the speaker sounded like they knew what they were talking about","to see if we are more likely to bet if the speaker sounds like they know what they are talking about","","No","1","Yes","Yes",7,3,"nonnative"
"42",79,6,7,7,7,7,7,8,8,8,8,6,3,3,5,4,4,7,3,6,7,4.16666666666667,6.8,7.8,"Scotland","Poland","Non-native speaker","No","1","Simply based on how they made me feel","If speaker's enthusiasm, percieved compentency, and accent affect participant confidence in what the speaker is saying. ","","No","1","Yes","Yes",8,2,"nonnative"
"43",80,5,3,5,5,4,3,8,9,7,9,9,6,4,9,9,1,4,5,7,6,6.33333333333333,4.4,7.2,"Spain","Leeds","Non-native speaker","Yes","1","based on how much i could understand and how much information was given about each of the horses past races and where they finished ","seeing whether people find foreign or non-foreign accents more reliable and prefferable","","Yes","1","Yes","Yes",8,9,"native"
"44",82,6,6,6,6,6,5,5,5,5,3,9,1,1,9,9,1,5,9,8,2,5,6,4.6,"Scotland","South Asia","Non-native speaker","No","1","I decided to keep the guaranteed £100 because betting isn't smart","Study biases against accented English","The native speaker was slow and 'ummed' a lot so she sounded less competent","No","1","Yes","Yes",7,5,"nonnative"
"45",84,6,6,7,6,5,5,7,8,7,8,8,3,4,8,8,7,7,8,8,5,6.33333333333333,6,7,"asia","north england ","Native speaker","No","2","based off the descriptions of the horses and how they did ","to see if there is a bias between native and none native speakers when deciding value propositions ","","No","2","Yes","Yes",4,8,"native"
"46",85,7,5,6,6,5,6,7,7,5,6,8,5,5,8,8,5,7,3,5,6,6.5,5.8,6.2,"UK","Spain","Native speaker","Yes","1","I bet more on the ones that sounded better","see how people use their money when betting","","Yes","1","Yes","Yes",8,3,"nonnative"
"47",88,2,3,2,4,2,3,3,3,5,3,2,2,1,3,3,3,2,8,6,2,2.33333333333333,2.6,3.4,"Scotland","Spain","Non-native speaker","No","1","Based on what the speakers were saying and how well versed they sounded.","Find out which voice people find more trustworthy","","No","1","Yes","Yes",5,9,"native"
"48",89,8,8,8,8,7,4,7,6,8,7,7,4,3,7,8,3,7,4,3,8,5.33333333333333,7.8,6.4,"northern england","india/pakistan ","Native speaker","Yes","1","names of horses","to see if people prefer native or non native accents","","Yes","1","Yes","Yes",6,5,"nonnative"
"49",90,7,8,8,8,8,6,6,7,7,8,9,6,5,9,9,6,7,9,9,7,7.33333333333333,7.8,6.8,"England","No","Native speaker","Yes","1","Went equal","Difference of advise between native and non native","","Yes","1","Yes","Yes",7,9,"native"
"50",92,5,6,5,5,6,5,5,5,6,5,9,4,4,9,9,5,5,9,9,3,6.66666666666667,5.4,5.2,"The Uk","India","Native speaker","No","1","based on how well i understoon the information spoken by the speaker","To examine how accents can alter our judgement of information","","No","1","Yes","Yes",6,9,"native"
"51",93,5,7,6,6,6,3,3,3,4,5,6,5,5,7,6,5,5,8,8,6,5.66666666666667,6,3.6,"North","Italy","Non-native speaker","No","1","How confident the bookies sounded plus the performance described of the horses","Do we find native speakers/familiar accents more trustworthy","","No","1","Yes","Yes",7,9,"native"
"52",97,6,5,5,6,5,7,7,6,5,6,8,6,7,7,7,5,6,6,7,8,6.66666666666667,5.4,6.2,"The north of England","Eastern Europe","Native speaker","Yes","1","Pure chance","To tell if someone trusts a native voice or a non-native voice more","","Yes","1","Yes","Yes",7,8,"native"
"53",99,6,5,6,6,6,4,4,5,6,5,7,5,4,8,8,4,6,3,7,7,6,5.8,4.8,"Manchester","Italy","Non-native speaker","No","1","Based on what the speaker said about the horses","to investigate what factors people consider when assessing how to place a bet","","No","1","Yes","Yes",8,9,"native"
"54",100,4,5,4,4,4,6,5,5,5,5,8,4,4,9,9,5,5,9,9,6,6.5,4.2,5.2,"Was not paying attention to the accent, just the words that were being said","Maybe a Latinate country","Native speaker","No","2","Based on the history of the horses, two were young and new to the races, one had just come back from a break but was doing really well and the other had a surprising good finish in the previous race.","To assess people's unconscious perception of accents.","When answering the question \which would you prefer to listen to\ there was no option for 'I don't mind' or 'both' which is what I would have liked to have put.","No","2","Yes","Yes",7,6,"native"
"55",101,7,7,7,7,6,7,8,8,8,8,8,7,6,8,9,6,8,6,8,8,7.33333333333333,6.8,7.8,"Manchester","Spain","Non-native speaker","No","1","on what was said about the horses","difference in native v non-native speakers in successfully delivering information","","No","1","Yes","Yes",4,5,"nonnative"
"56",102,6,5,5,5,5,5,6,6,6,6,7,3,3,8,8,5,7,6,5,7,5.66666666666667,5.2,5.8,"England","Spain","Native speaker","Yes","3","Based on the info the people told me","To see if accents change opinions on information","","Yes","3","Yes","Yes",6,3,"nonnative"
"57",103,4,4,3,3,3,3,3,3,4,3,5,2,2,9,6,5,4,7,7,4,4.83333333333333,3.4,3.2,"Scotland","Spain","Non-native speaker","No","1","tried to understand the points they were making","interpretation of different accents","","No","1","Yes","Yes",7,9,"native"
"58",104,3,3,3,3,3,1,1,3,2,2,8,3,3,9,9,3,2,3,4,3,5.83333333333333,3,1.8,"Scotland/North of England","Italy","Native speaker","No","1","Evenly","Look at perceptions of native English speakers to native and non-native English speakers","","No","1","Yes","Yes",4,9,"native"
"59",106,5,4,2,2,3,5,6,6,3,5,5,6,2,6,7,3,4,3,3,7,4.83333333333333,3.2,5,"English","African","Native speaker","No","1","Just from the information gained, as well as wanting to spreading out the bets.","How trustworthy and receptive are we of non-native speakers compared to native speakers.","","No","1","Yes","Yes",4,4,"nonnative"
"60",108,7,6,5,7,6,4,3,4,6,4,8,4,3,9,9,2,5,8,8,6,5.83333333333333,6.2,4.2,"England","Italy","Native speaker","No","1","on the horses previous performance","Attitudes towards people from different countries based on their accent","","No","1","Yes","Yes",7,9,"native"
"61",111,7,7,6,7,6,4,4,5,7,5,6,6,6,9,9,6,6,9,9,3,7,6.6,5,"the north of england","france","Native speaker","No","1","almost equally","to explore attitudes of british citizens towards non native english speakers","","No","1","Yes","Yes",7,9,"native"
"62",114,6,7,7,7,7,3,3,4,6,4,6,4,4,6,6,4,8,7,9,6,5,6.8,4,"no","no","Native speaker","No","1","based on the information provided about the horse and how it was doing","to see if having a non-native speaker affects how people view the trustworthiness of their information","","No","1","Yes","Yes",6,9,"native"
"63",115,6,6,5,5,5,7,7,7,7,4,3,6,4,4,4,4,6,9,9,8,4.16666666666667,5.4,6.4,"England","France","Non-native speaker","Yes","1","None of them really sounded more promising than the other, so I bet them all equally","To decide how trustworthy or educated people with different accents are","","Yes","1","Yes","Yes",8,9,"native"
"64",117,4,5,7,7,6,4,6,6,6,7,4,6,5,6,9,5,6,7,9,7,5.83333333333333,5.8,5.8,"Yorkshire/North England","Somewhere in France","Native speaker","No","1","Mostly the content of what was said about the horses and how I expected they would perform","To gauge whether foreign/native accents can effect perception of honesty and trustworthiness when receiving information","The tone the recordings was quite improvisatory - like they were trying to come up with the information on the spot. Led me to think the information was slightly arbritrary rather than concrete. The shaking/slight stuttering slightly contributed to this.  ","No","1","Yes","Yes",6,9,"native"
"65",119,3,3,3,3,3,6,6,5,5,5,9,3,3,9,9,3,5,4,6,5,6,3,5.4,"Scotland","France","Native speaker","No","1","25% each","Ti see if your opinoun changed based on the speaker","I thought it said you could leave some £ leftover so i did, but im not sure what leaving those £s did. Did they go to a non-selected horse?","No","1","Yes","Yes",5,7,"nonnative"
"66",120,5,6,4,6,7,5,6,6,5,6,4,3,4,9,9,4,7,3,6,8,5.5,5.6,5.6,"Lancashire","Spain","Native speaker","Yes","1","the information provided by the speakers","","","Yes","1","Yes","Yes",5,6,"nonnative"
"67",122,9,9,6,8,6,6,7,7,9,7,9,7,6,9,9,5,8,9,9,6,7.5,7.6,7.2,"UK","No idea - India? ","Native speaker","No","1","I wanted the bets to be balanced across the four, but I tried to distribute according to the intel provided by the speakers","To assess the impact of a non-native accent on how trustworthy/expert someone is perceived.","","No","1","Yes","Yes",9,4,"nonnative"
"68",124,7,7,7,7,7,7,7,7,7,7,9,5,5,9,9,5,6,7,5,5,7,7,7,"Northern England","Spain","Non-native speaker","No","1","Based on how reliable I thought they sounded","Unsure","","No","1","Yes","Yes",4,7,"nonnative"
"69",126,6,5,5,5,5,6,6,6,6,6,7,5,5,6,7,5,7,5,8,5,5.83333333333333,5.2,6,"Not sure","Not sure","Non-native speaker","No","1","i bet conservatively because the information was very vague ","unsure","","No","1","Yes","Yes",9,9,"native"
"70",128,6,4,5,5,5,3,3,4,4,3,7,3,2,9,8,3,3,7,7,6,5.33333333333333,5,3.4,"England","Spain","Non-native speaker","No","1","On how confident and clear the speaker was and how talented the horse sounded","See how we perceive information from native or non native speakers","","No","1","Yes","Yes",4,8,"native"
"71",129,8,8,8,8,8,5,7,7,8,7,9,5,5,8,9,5,8,8,8,7,6.83333333333333,8,6.8,"South England","Eastern Europe","Non-native speaker","Yes","1","I didn't really understand much of the horse racing lingo, so I just tried to decide based on how positive the experts sounded","Trustworthiness of advice based on accent","","Yes","1","Yes","Yes",7,6,"nonnative"
"72",132,6,7,6,6,6,6,5,7,5,6,3,6,6,3,3,7,5,5,5,5,4.66666666666667,6.2,5.8,"England","France","Native speaker","No","1","By the information provided","To test if people process information differently dependent on accents ","","No","1","Yes","Yes",4,7,"nonnative"
"73",135,4,4,4,5,5,3,4,6,7,6,9,3,3,7,9,5,5,8,5,3,6,4.4,5.2,"Romania ","Surrey","Non-native speaker","No","1","I listened to how well the horses run and how well the coaches thought their horse would run and bet accordingly. ","To see how people listen to and take advice from native and non-native speakers ","","No","1","Yes","Yes",6,9,"native"
"74",136,6,7,7,7,6,7,6,6,7,7,7,3,2,6,6,3,7,8,8,7,4.5,6.6,6.6,"England - Leeds?","Spain/India","Native speaker","No","1","even bets on all as non stood out from each other","to see if accent influences a persons decision","","No","1","Yes","Yes",4,9,"native"
"75",137,3,3,3,3,3,4,2,2,2,3,6,1,1,4,4,1,3,8,8,7,2.83333333333333,3,2.6,"Spain","Manchester","Native speaker","No","1","Based it off the more descriptive info about the horses","Not sure","","No","1","Yes","Yes",9,9,"native"
"76",138,3,5,6,6,5,2,4,9,7,7,4,4,3,5,8,4,5,6,8,4,4.66666666666667,5,5.8,"Scotland","France","Non-native speaker","Yes","1","I went primarily on how how confident the speaker sounded, and then the tips they were going secondary to that ","","","Yes","1","Yes","Yes",9,8,"native"
"77",139,6,6,6,6,6,5,6,6,6,6,8,5,6,7,7,5,6,6,5,6,6.33333333333333,6,5.8,"France?","France?","Native speaker","Yes","1","The history and success of the horses","To see if accents/language can impact financial decisions e.g. betting?","","Yes","1","Yes","Yes",4,5,"native"
"78",140,7,7,7,7,7,5,6,6,6,6,8,3,5,7,8,5,6,5,5,6,6,7,5.8,"United Kingdom","Japan","Non-native speaker","Yes","1","Based on the descriptions of the horse's success","","","Yes","1","Yes","Yes",6,1,"nonnative"
"79",141,4,5,5,5,5,5,5,5,5,5,7,5,5,7,7,4,5,5,7,5,5.83333333333333,4.8,5,"No","No","Non-native speaker","Yes","2","Based on what they said","I don't know ","","Yes","2","Yes","Yes",6,7,"native"
"80",143,7,7,7,7,7,7,8,8,8,8,9,9,7,9,9,6,8,7,7,9,8.16666666666667,7,7.8,"northern england","france or spain","Native speaker","No","1","Distrubuted my bets in accordance with the information provided. None of the speakers seemed particularly enthused about a winner and sounded like they were reading from a clipping from a bet slip on the horse.","To see if bias in accent influences trustworthiness in regards to spending money or seeking advice","","No","1","Yes","Yes",9,9,"nonnative"
"81",145,5,5,5,5,5,5,5,5,5,5,9,5,5,9,9,5,5,8,8,5,7,5,5,"UK","France","Non-native speaker","No","1","Just random","How youd place bets based on whether someone has a  native or non native accent","I couldn't change bets made on the horses after i had done them which was a shame","No","1","Yes","Yes",5,9,"native"
"82",146,2,2,3,4,3,2,6,6,7,6,4,3,2,8,9,3,5,7,7,6,4.83333333333333,2.8,5.4,"Yorkshire","Spain","Non-native speaker","No","1","Based on the prior achievements of the horses.","To see the impact that non-native vs native speaker has on the ability to influence people.","","No","1","Yes","Yes",7,8,"native"
"83",147,8,8,8,8,8,8,8,8,8,8,9,4,4,9,8,7,7,9,9,5,6.83333333333333,8,8,"Spain","Manchester","Non-native speaker","No","1","Based on that I didn't know what would be said about the next horse","To understand people's perception of accents","","No","1","Yes","Yes",7,7,"native"
"84",148,8,7,7,7,5,5,5,5,7,8,8,4,4,6,8,5,9,3,9,6,5.83333333333333,6.8,6,"England?","Somewhere in Eastern Europe? ","Native speaker","Yes","1","Evenly ","To see if native speaker influences bias in betting?","","Yes","1","Yes","Yes",7,7,"nonnative"
"85",149,6,5,5,5,3,5,6,6,5,5,6,2,2,7,8,3,5,3,3,7,4.66666666666667,4.8,5.4,"Yorkshire","France","Native speaker","Yes","1","How best i understood them","To see if how something is presented effects the chance of choosing something","","Yes","1","Yes","Yes",7,1,"nonnative"
"86",150,9,6,4,5,5,3,3,5,6,5,8,2,2,6,7,5,7,9,9,4,5,5.8,4.4,"Scotland","Spain","Non-native speaker","No","1","Previous results of horses","","","No","1","Yes","Yes",7,9,"native"
"87",152,4,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,4,8,9,5,5,4.4,4.6,"Southern Scotland","My gut tells me it was someone from England doing an exotic accent","Non-native speaker","No","2","Based on the image of the horse and informed by the statistics given.","To check how accents inform our perceptions of others.","","No","2","Yes","Yes",5,9,"native"
"88",153,7,8,7,7,7,8,8,8,7,8,8,6,6,7,7,6,8,7,9,7,6.66666666666667,7.2,7.8,"england","argentina","Native speaker","No","1","How enthusiastic the language was","to see if you voted differently depending on the familiarity of the accent","","No","1","Yes","Yes",8,9,"native"
"89",154,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,"sussex","spain","Non-native speaker","Yes","1","I was impressed with the first horse and felt he was the most promising ","to see if you favour the horse based on the speaker","","Yes","1","Yes","Yes",9,5,"nonnative"
"90",155,8,8,7,7,7,7,7,7,7,8,8,6,6,8,8,5,8,7,9,5,6.83333333333333,7.4,7.2,"Yorkshire","Spain","Non-native speaker","Yes","2","Based on what they said about the horses","Judging people's accents","","Yes","2","Yes","Yes",8,8,"native"
