subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
"11",2023-08-23_11:52:46,2023-08-23_13:52:46,2023-08-21_12:54:13,https://www.testable.org/experiment/4462/894184/start,517.344

rowNo,type,subjectGroup,stim1,stim2,stim3,stim4,stimFormat,stimPos,audio,condition1,condition2,condition3,condition4,label,head,responseRows,responseRowsRandom,key,button1,button2,button3,button4,button5,button6,button7,button8,responseType,responseOptions,responsePos,trialText,trialTextPos,randomBlock,content,required,pageBreak,if,then,condition5,ITI_ms,responseRows_actual,timestamp,response,RT,RTkeys,correct,responseCode
"211",form,"11",apocalypse,blackblade,firewalker,silversky,.jpg,-300 -200; 300 -200; -300 200; 300 200,"",critical,"","","",finalbet11_errorapocalypse;finalbet11_errorblackblade;finalbet11_errorfirewalker;finalbet11_errorsilversky,"You can review your placed bets. If you wish to change them, please write in the box below each horse the new bet. Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two').<center><p style=""color: #FF9F35""><b> You can only bet two-hundred pounds, your current bet is %response.sum[finalbet11apocalypse,finalbet11blackblade,finalbet11firewalker,finalbet11silversky]%. </p></b></center>Please, change your bettings accordingly, so they add up to two-hundred.<br>Remember that you only have two-hundred pounds to distribute across the horses, and to allocate your bet based on the likelihood you think that horse has of winning.<br>Your original bets were <b>%response[apocalypse11]%</b> on <b>Apocalypse</b>, <b>%response[blackblade11]%</b> on <b>Black Blade</b>, <b>%response[firewalker11]%</b> on <b>Fire Walker</b> and <b>%response[silversky11]%</b> on <b>Silver Sky</b>. If you do not wish to modify your bets, please re-type the bets that you had previously allocated. Note that they still need to add up to two-hundred pounds.","","","","","","","","","","","",box,"",below,"","","","","1","1",response.sum[finalbet11_errorapocalypse;finalbet11_errorblackblade;finalbet11_errorfirewalker;finalbet11_errorsilversky] > 200; response.sum[finalbet11_errorapocalypse;finalbet11_errorblackblade;finalbet11_errorfirewalker;finalbet11_errorsilversky] < 200,211;446,finalbet_error,0,"",224598,34|343|3|3,39469,"","0",NA|NA|NA|NA
"447",form,"","","","","","","","",form,"","","","","How many speakers did you listen to? Please, use digits (e.g., '10') instead of text (e.g., 'ten').","","","2","","","","","","","","",box,"","","","","","","1","1","","",attention-check-numberspeakers,0,"",228095,"2",2064,"","1",NA
"448",form,"","","","","","","","",form,"","","","",Where was Ms Fiammetta from?,"","",Italy| ITALY| italy| Italian| italian,"","","","","","","","",box,"","","","","","","1","1","","",attention-check-coo-italy,0,"",230750,"2",2152,"","0",NA
"449",form,"","","","","","","","",form,"","","","",Where was Ms Waterston from?,"","",UK| uk | Uk| uK| united kindom| United Kingdom| United kingdom| UNITED KINGDOM| England| england| Wales| wales| scotland| Scotland| Britain| britain| british| British| british| english| English| Scotish| scotish| welsh| Welsh,"","","","","","","","",box,"","","","","","","1","1","","",attention-check-coo-uk,0,"",232080,"2",826,"","0",NA
"454",form,"","","","","","","","",form,"",native,"","",This set of questions relate to the <b>native</b> speaker (Ms Waterstone). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>easy was it to understand</b> this speaker? (0: Not easy at all, 100: Extremely easy);How <b>fluent</b> was this speaker? (0: Not fluent at all, 100: Extremely fluent);How <b>strong was this speaker's accent</b>? (0: Not accented at all, 100: Extremely accented);How <b>trustworthy</b> was this speaker? (0: Not trustworthy at all, 100: Extremely trustworthy)","1","","","","","","","","","",slider,0_100_1,below,"",above,1 4,"","1","1","","",dimension_rest_native,0,"How <b>easy was it to understand</b> this speaker? (0: Not easy at all, 100: Extremely easy);How <b>strong was this speaker's accent</b>? (0: Not accented at all, 100: Extremely accented);How <b>trustworthy</b> was this speaker? (0: Not trustworthy at all, 100: Extremely trustworthy);How <b>fluent</b> was this speaker? (0: Not fluent at all, 100: Extremely fluent)",459407,9_63_46_31,224783,"","0",9_63_46_31
"452",form,"","","","","","","","",form,"",native,"","",This set of questions relate to the <b>native</b> speaker (Ms Waterstone). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>intelligent</b> did you find this speaker? (0: Not intelligent at all, 100: Extremely intelligent);How <b>educated</b> did you find this speaker? (0: Not educated at all, 100: Extremely educated);How <b>smart</b> did you find this speaker? (0: Not smart at all, 100: Extremely smart);How <b>competent</b> did you find this speaker? (0: Not competent at all, 100: Extremely competent);How <b>successful</b> did you find this speaker? (0: Not succesful  at all, 100: Extremely succesful)","1","","","","","","","","","",slider,0_100_1,below,"",above,1 2,"","1","1","","",dimension_status_native,0,"How <b>smart</b> did you find this speaker? (0: Not smart at all, 100: Extremely smart);How <b>intelligent</b> did you find this speaker? (0: Not intelligent at all, 100: Extremely intelligent);How <b>educated</b> did you find this speaker? (0: Not educated at all, 100: Extremely educated);How <b>successful</b> did you find this speaker? (0: Not succesful  at all, 100: Extremely succesful);How <b>competent</b> did you find this speaker? (0: Not competent at all, 100: Extremely competent)",465663,64_53_46_57_67,5721,"","0",64_53_46_57_67
"453",form,"","","","","","","","",form,"",native,"","",This set of questions relate to the <b>native</b> speaker (Ms Waterstone). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>friendly</b> did you find this speaker? (0: Not friendly at all, 100: Extremely friendly);How <b>nice</b> did you find this speaker? (0: Not nice at all, 100: Extremely nice);How <b>pleasant</b> did you find this speaker? (0: Not pleasant at all, 100: Extremely pleasant);How <b>honest</b> did you find this speaker? (0: Not honest at all, 100: Extremely honest);How <b>sociable</b> did you find this speaker? (0: Not sociable at all, 100: Extremely sociable)","1","","","","","","","","","",slider,0_100_1,below,"",above,1 3,"","1","1","","",dimension_solidarity_native,0,"How <b>pleasant</b> did you find this speaker? (0: Not pleasant at all, 100: Extremely pleasant);How <b>nice</b> did you find this speaker? (0: Not nice at all, 100: Extremely nice);How <b>sociable</b> did you find this speaker? (0: Not sociable at all, 100: Extremely sociable);How <b>friendly</b> did you find this speaker? (0: Not friendly at all, 100: Extremely friendly);How <b>honest</b> did you find this speaker? (0: Not honest at all, 100: Extremely honest)",470447,35_23_64_68_42,4249,"","0",35_23_64_68_42
"451",form,"","","","","","","","",form,"",native,"","",This set of questions relate to the <b>native</b> speaker (Ms Waterstone). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>annoyed</b> did you feel when you listened to this speaker? (0: Not annoyed at all, 100: Extremely annoyed);How <b>irritated</b> did you feel when you listened to this speaker? (0: Not irritated at all, 100: Extremely irritated);How <b>frustrated</b> did you feel when you listened to this speaker? (0: Not frustrated at all, 100: Extremely frustrated);How <b>interested</b> did you feel when you listened to this speaker? (0: Not interested at all, 100: Extremely interested);How <b>happy</b> did you feel when you listened to this speaker? (0: Not happy  at all, 100: Extremely happy);How <b>enthusiastic</b> did you feel when you listened to this speaker? (0: Not enthusiastic at all, 100: Extremely enthusiastic)","1","","","","","","","","","",slider,0_100_1,below,"",above,1 1,"","1","1","","",dimension_affect_native,0,"How <b>happy</b> did you feel when you listened to this speaker? (0: Not happy  at all, 100: Extremely happy);How <b>interested</b> did you feel when you listened to this speaker? (0: Not interested at all, 100: Extremely interested);How <b>frustrated</b> did you feel when you listened to this speaker? (0: Not frustrated at all, 100: Extremely frustrated);How <b>annoyed</b> did you feel when you listened to this speaker? (0: Not annoyed at all, 100: Extremely annoyed);How <b>irritated</b> did you feel when you listened to this speaker? (0: Not irritated at all, 100: Extremely irritated);How <b>enthusiastic</b> did you feel when you listened to this speaker? (0: Not enthusiastic at all, 100: Extremely enthusiastic)",476015,47_63_22_45_24_33,5029,"","0",47_63_22_45_24_33
"456",form,"","","","","","","","",form,"",nonnative,"","",This set of questions relate to the <b>non-native</b> speaker (Ms Fiammetta). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>annoyed</b> did you feel when you listened to this speaker? (0: Not annoyed at all, 100: Extremely annoyed);How <b>irritated</b> did you feel when you listened to this speaker? (0: Not irritated at all, 100: Extremely irritated);How <b>frustrated</b> did you feel when you listened to this speaker? (0: Not frustrated at all, 100: Extremely frustrated);How <b>interested</b> did you feel when you listened to this speaker? (0: Not interested at all, 100: Extremely interested);How <b>happy</b> did you feel when you listened to this speaker? (0: Not happy  at all, 100: Extremely happy);How <b>enthusiastic</b> did you feel when you listened to this speaker? (0: Not enthusiastic at all, 100: Extremely enthusiastic)","1","","","","","","","","","",slider,0_100_1,below,"",above,2 1,"","1","1","","",dimension_affect_nonnative,0,"How <b>frustrated</b> did you feel when you listened to this speaker? (0: Not frustrated at all, 100: Extremely frustrated);How <b>annoyed</b> did you feel when you listened to this speaker? (0: Not annoyed at all, 100: Extremely annoyed);How <b>happy</b> did you feel when you listened to this speaker? (0: Not happy  at all, 100: Extremely happy);How <b>enthusiastic</b> did you feel when you listened to this speaker? (0: Not enthusiastic at all, 100: Extremely enthusiastic);How <b>interested</b> did you feel when you listened to this speaker? (0: Not interested at all, 100: Extremely interested);How <b>irritated</b> did you feel when you listened to this speaker? (0: Not irritated at all, 100: Extremely irritated)",489288,75_54_44_60_50_62,6649,"","0",75_54_44_60_50_62
"458",form,"","","","","","","","",form,"",nonnative,"","",This set of questions relate to the <b>non-native</b> speaker (Ms Fiammetta). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>friendly</b> did you find this speaker? (0: Not friendly at all, 100: Extremely friendly);How <b>nice</b> did you find this speaker? (0: Not nice at all, 100: Extremely nice);How <b>pleasant</b> did you find this speaker? (0: Not pleasant at all, 100: Extremely pleasant);How <b>honest</b> did you find this speaker? (0: Not honest at all, 100: Extremely honest);How <b>sociable</b> did you find this speaker? (0: Not sociable at all, 100: Extremely sociable)","1","","","","","","","","","",slider,0_100_1,below,"",above,2 3,"","1","1","","",dimension_solidarity_nonnative,0,"How <b>sociable</b> did you find this speaker? (0: Not sociable at all, 100: Extremely sociable);How <b>honest</b> did you find this speaker? (0: Not honest at all, 100: Extremely honest);How <b>pleasant</b> did you find this speaker? (0: Not pleasant at all, 100: Extremely pleasant);How <b>nice</b> did you find this speaker? (0: Not nice at all, 100: Extremely nice);How <b>friendly</b> did you find this speaker? (0: Not friendly at all, 100: Extremely friendly)",494735,95_95_80_61_66,4913,"","0",95_95_80_61_66
"459",form,"","","","","","","","",form,"",nonnative,"","",This set of questions relate to the <b>non-native</b> speaker (Ms Fiammetta). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>easy was it to understand</b> this speaker? (0: Not easy at all, 100: Extremely easy);How <b>fluent</b> was this speaker? (0: Not fluent at all, 100: Extremely fluent);How <b>strong was this speaker's accent</b>? (0: Not accented at all, 100: Extremely accented);How <b>trustworthy</b> was this speaker? (0: Not trustworthy at all, 100: Extremely trustworthy)","1","","","","","","","","","",slider,0_100_1,below,"",above,2 4,"","1","1","","",dimension_rest_nonnative,0,"How <b>trustworthy</b> was this speaker? (0: Not trustworthy at all, 100: Extremely trustworthy);How <b>easy was it to understand</b> this speaker? (0: Not easy at all, 100: Extremely easy);How <b>fluent</b> was this speaker? (0: Not fluent at all, 100: Extremely fluent);How <b>strong was this speaker's accent</b>? (0: Not accented at all, 100: Extremely accented)",499782,59_63_30_40,4522,"","0",59_63_30_40
"457",form,"","","","","","","","",form,"",nonnative,"","",This set of questions relate to the <b>non-native</b> speaker (Ms Fiammetta). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>intelligent</b> did you find this speaker? (0: Not intelligent at all, 100: Extremely intelligent);How <b>educated</b> did you find this speaker? (0: Not educated at all, 100: Extremely educated);How <b>smart</b> did you find this speaker? (0: Not smart at all, 100: Extremely smart);How <b>competent</b> did you find this speaker? (0: Not competent at all, 100: Extremely competent);How <b>successful</b> did you find this speaker? (0: Not succesful  at all, 100: Extremely succesful)","1","","","","","","","","","",slider,0_100_1,below,"",above,2 2,"","1","1","","",dimension_status_nonnative,0,"How <b>smart</b> did you find this speaker? (0: Not smart at all, 100: Extremely smart);How <b>successful</b> did you find this speaker? (0: Not succesful  at all, 100: Extremely succesful);How <b>intelligent</b> did you find this speaker? (0: Not intelligent at all, 100: Extremely intelligent);How <b>competent</b> did you find this speaker? (0: Not competent at all, 100: Extremely competent);How <b>educated</b> did you find this speaker? (0: Not educated at all, 100: Extremely educated)",506174,62_73_47_71_78,5860,"","0",62_73_47_71_78
"460",form,"","","","","","","","",form,"",nonnative,"","","How used are you to foreign-accented speech in your daily life? Please, rate your daily exposure on a scale from 1 (none) to 10 (always).","","","","","","","","","","","",slider,1_10_1,below,"",above,"","","1","","","",exposure,0,"",509174,"9",2485,"","0","9"
"461",form,"","","","","","","","",form,"",native,"","","How used are you to British-accented English? Please, rate your daily exposure on a scale from 1 (none) to 10 (always).","","","","","","","","","","","",slider,1_10_1,below,"",above,"","","1","1","","",exposure,0,"",509174,"6",2485,"","0","6"
"463",form,"","","","","","","","",form,"","","","",Have you ever bet on horse races in the past?,"","","","","","","","","","","",checkboxes,Yes;No,below,"",above,"","","1","","","",bet-experience-binary,0,"",513519,Yes,3825,"","0","1"
"464",form,"","","","","","","","",form,"","","","",How much do you agree with the statement 'I am an expert in horse races'?,"","","","","","","","","","","",slider,Strongly disagree_Somewhat disagree_Neither disagree nor agree_Somewhat agree_Strongly agree,below,"",above,"","","1","","","",bet-knowledge,0,"",513519,Neither disagree nor agree,3825,"","0","3"
"465",form,"","","","","","","","",form,"",native,"","","How natural did the recordings of the <b>native speaker</b> sound to you? By naturalness, we mean whether there was anything odd in the stimuli i.e., how likely it is that their recordings were made in one go? Please rate it on a scale from 1 (very likely) to 9 (very unlikely).","","","","","","","","","","","",slider,1_9_1,below,"",above,"","","1","","","",naturalness,0,"",513519,"2",3825,"","0","2"
"466",form,"","","","","","","","",form,"",nonnative,"","","How natural did the recordings of the <b>non-native speaker</b> sound to you? By naturalness, we mean whether there was anything odd in the stimuli i.e., how likely it is that their recordings were made in one go? Please rate it on a scale from 1 (very likely) to 9 (very unlikely).","","","","","","","","","","","",slider,1_9_1,below,"",above,"","","1","","","",naturalness,0,"",513519,"6",3825,"","0","6"
"467",form,"","","","","","","","",form,"","","","",What do you think the aim of the experiment is?,"","","","","","","","","","","",box,"","","","","","","","","","",open-question-aim,0,"",513519,NA,3825,"","0",NA
"468",form,"","","","","","","","",form,"","","","","If you want to share your opinion with us, please do it here.","","","","","","","","","","","",box,"","","","","","","","","","",open-question-thoughts,0,"",513519,NA,3825,"","0",NA
