subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
"4",2023-08-23_09:48:20,2023-08-23_11:48:20,2023-08-21_12:54:13,https://www.testable.org/experiment/4462/894184/start,315.189

rowNo,type,subjectGroup,stim1,stim2,stim3,stim4,stimFormat,stimPos,audio,condition1,condition2,condition3,condition4,label,head,responseRows,responseRowsRandom,key,button1,button2,button3,button4,button5,button6,button7,button8,responseType,responseOptions,responsePos,trialText,trialTextPos,randomBlock,content,required,pageBreak,if,then,condition5,ITI_ms,responseRows_actual,timestamp,response,RT,RTkeys,correct,responseCode
"75",test,"4",firewalker,"","","",.jpg,"","",critical,firewalker,nonnative,disfluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[firewalker4]% on Fire Walker. <br>Click 'NEXT' to continue to the next horse.,above,"2","","1","","","",move-on,"","",119338,"1",508,"","",""
"78",test,"4",blackblade,"","","",.jpg,"","",critical,blackblade,native,disfluent,blackblade4,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"3","","1","","","",bet,"","",167226,"55",11060,10597;10756,"",""
"79",test,"4",blackblade,"","","",.jpg,"","",critical,blackblade,native,disfluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[blackblade4]% on Black Blade. <br>Click 'NEXT' to continue to the next horse.,above,"3","","1","","","",move-on,"","",167763,"1",532,"","",""
"84",form,"4",apocalypse,blackblade,firewalker,silversky,.jpg,-300 -200; 300 -200; -300 200; 300 200,"",critical,"","","",finalbet4apocalypse;finalbet4blackblade;finalbet4firewalker;finalbet4silversky,"You can review your placed bets. If you wish to change them, please write in the box below each horse the new bet. Remember that you only have two-hundred pounds to distribute across the horses, and to allocate your bet based on the likelihood you think that horse has of winning. Thus far, you have bet a total of %response.sum[apocalypse4,blackblade4,firewalker4,silversky4]% pounds. <br>You bet <b>%response[apocalypse4]%</b> on <b>Apocalypse</b>, <b>%response[blackblade4]%</b> on <b>Black Blade</b>, <b>%response[firewalker4]%</b> on <b>Fire Walker</b> and <b>%response[silversky4]%</b> on <b>Silver Sky</b>. If you do not wish to modify your bets, please re-type the bets that you had previously allocated. Note that they still need to add up to two-hundred pounds.","","","","","","","","","","","",box,"",below,"","","","","1","1",response.sum[finalbet4apocalypse;finalbet4blackblade;finalbet4firewalker;finalbet4silversky] > 200; response.sum[finalbet4apocalypse;finalbet4blackblade;finalbet4firewalker;finalbet4silversky] < 200,85;446,finalbet,0,"",183170,44|23|23|56,14899,"","0",NA|NA|NA|NA
"85",form,"4",apocalypse,blackblade,firewalker,silversky,.jpg,-300 -200; 300 -200; -300 200; 300 200,"",critical,"","","",finalbet4_errorapocalypse;finalbet4_errorblackblade;finalbet4_errorfirewalker;finalbet4_errorsilversky,"You can review your placed bets. If you wish to change them, please write in the box below each horse the new bet.Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two').<center><p style=""color: #FF9F35""><b> You can only bet two-hundred pounds, your current bet is %response.sum[finalbet4apocalypse,finalbet4blackblade,finalbet4firewalker,finalbet4silversky]%.</p></b></center> Please, change your bettings accordingly, so they add up to two-hundred. <br>Remember that you only have two-hundred pounds to distribute across the horses, and to allocate your bet based on the likelihood you think that horse has of winning. <br>Your original bets were <b>%response[apocalypse4]%</b> on <b>Apocalypse</b>, <b>%response[blackblade4]%</b> on <b>Black Blade</b>, <b>%response[firewalker4]%</b> on <b>Fire Walker</b> and <b>%response[silversky4]%</b> on <b>Silver Sky</b>. If you do not wish to modify your bets, please re-type the bets that you had previously allocated. Note that they still need to add up to two-hundred pounds.","","","","","","","","","","","",box,"",below,"","","","","1","1",response.sum[finalbet4_errorapocalypse;finalbet4_errorblackblade;finalbet4_errorfirewalker;finalbet4_errorsilversky] > 200; response.sum[finalbet4_errorapocalypse;finalbet4_errorblackblade;finalbet4_errorfirewalker;finalbet4_errorsilversky] < 200,85;446,finalbet_error,0,"",191746,1|1|1|1,8072,"","0",NA|NA|NA|NA
"447",form,"","","","","","","","",form,"","","","","How many speakers did you listen to? Please, use digits (e.g., '10') instead of text (e.g., 'ten').","","","2","","","","","","","","",box,"","","","","","","1","1","","",attention-check-numberspeakers,0,"",240475,"2",45858,"","1",NA
"448",form,"","","","","","","","",form,"","","","",Where was Ms Fiammetta from?,"","",Italy| ITALY| italy| Italian| italian,"","","","","","","","",box,"","","","","","","1","1","","",attention-check-coo-italy,0,"",244730,italy,3751,"","1",NA
"449",form,"","","","","","","","",form,"","","","",Where was Ms Waterston from?,"","",UK| uk | Uk| uK| united kindom| United Kingdom| United kingdom| UNITED KINGDOM| England| england| Wales| wales| scotland| Scotland| Britain| britain| british| British| british| english| English| Scotish| scotish| welsh| Welsh,"","","","","","","","",box,"","","","","","","1","1","","",attention-check-coo-uk,0,"",249203,uk,3969,"","1",NA
"453",form,"","","","","","","","",form,"",native,"","",This set of questions relate to the <b>native</b> speaker (Ms Waterstone). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>friendly</b> did you find this speaker? (0: Not friendly at all, 100: Extremely friendly);How <b>nice</b> did you find this speaker? (0: Not nice at all, 100: Extremely nice);How <b>pleasant</b> did you find this speaker? (0: Not pleasant at all, 100: Extremely pleasant);How <b>honest</b> did you find this speaker? (0: Not honest at all, 100: Extremely honest);How <b>sociable</b> did you find this speaker? (0: Not sociable at all, 100: Extremely sociable)","1","","","","","","","","","",slider,0_100_1,below,"",above,1 3,"","1","1","","",dimension_solidarity_native,0,"How <b>pleasant</b> did you find this speaker? (0: Not pleasant at all, 100: Extremely pleasant);How <b>sociable</b> did you find this speaker? (0: Not sociable at all, 100: Extremely sociable);How <b>honest</b> did you find this speaker? (0: Not honest at all, 100: Extremely honest);How <b>nice</b> did you find this speaker? (0: Not nice at all, 100: Extremely nice);How <b>friendly</b> did you find this speaker? (0: Not friendly at all, 100: Extremely friendly)",260035,34_58_28_25_44,5791,"","0",34_58_28_25_44
"451",form,"","","","","","","","",form,"",native,"","",This set of questions relate to the <b>native</b> speaker (Ms Waterstone). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>annoyed</b> did you feel when you listened to this speaker? (0: Not annoyed at all, 100: Extremely annoyed);How <b>irritated</b> did you feel when you listened to this speaker? (0: Not irritated at all, 100: Extremely irritated);How <b>frustrated</b> did you feel when you listened to this speaker? (0: Not frustrated at all, 100: Extremely frustrated);How <b>interested</b> did you feel when you listened to this speaker? (0: Not interested at all, 100: Extremely interested);How <b>happy</b> did you feel when you listened to this speaker? (0: Not happy  at all, 100: Extremely happy);How <b>enthusiastic</b> did you feel when you listened to this speaker? (0: Not enthusiastic at all, 100: Extremely enthusiastic)","1","","","","","","","","","",slider,0_100_1,below,"",above,1 1,"","1","1","","",dimension_affect_native,0,"How <b>annoyed</b> did you feel when you listened to this speaker? (0: Not annoyed at all, 100: Extremely annoyed);How <b>interested</b> did you feel when you listened to this speaker? (0: Not interested at all, 100: Extremely interested);How <b>happy</b> did you feel when you listened to this speaker? (0: Not happy  at all, 100: Extremely happy);How <b>enthusiastic</b> did you feel when you listened to this speaker? (0: Not enthusiastic at all, 100: Extremely enthusiastic);How <b>irritated</b> did you feel when you listened to this speaker? (0: Not irritated at all, 100: Extremely irritated);How <b>frustrated</b> did you feel when you listened to this speaker? (0: Not frustrated at all, 100: Extremely frustrated)",267034,57_51_75_52_58_58,6457,"","0",57_51_75_52_58_58
"454",form,"","","","","","","","",form,"",native,"","",This set of questions relate to the <b>native</b> speaker (Ms Waterstone). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>easy was it to understand</b> this speaker? (0: Not easy at all, 100: Extremely easy);How <b>fluent</b> was this speaker? (0: Not fluent at all, 100: Extremely fluent);How <b>strong was this speaker's accent</b>? (0: Not accented at all, 100: Extremely accented);How <b>trustworthy</b> was this speaker? (0: Not trustworthy at all, 100: Extremely trustworthy)","1","","","","","","","","","",slider,0_100_1,below,"",above,1 4,"","1","1","","",dimension_rest_native,0,"How <b>trustworthy</b> was this speaker? (0: Not trustworthy at all, 100: Extremely trustworthy);How <b>easy was it to understand</b> this speaker? (0: Not easy at all, 100: Extremely easy);How <b>fluent</b> was this speaker? (0: Not fluent at all, 100: Extremely fluent);How <b>strong was this speaker's accent</b>? (0: Not accented at all, 100: Extremely accented)",271258,44_57_47_51,3695,"","0",44_57_47_51
"452",form,"","","","","","","","",form,"",native,"","",This set of questions relate to the <b>native</b> speaker (Ms Waterstone). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>intelligent</b> did you find this speaker? (0: Not intelligent at all, 100: Extremely intelligent);How <b>educated</b> did you find this speaker? (0: Not educated at all, 100: Extremely educated);How <b>smart</b> did you find this speaker? (0: Not smart at all, 100: Extremely smart);How <b>competent</b> did you find this speaker? (0: Not competent at all, 100: Extremely competent);How <b>successful</b> did you find this speaker? (0: Not succesful  at all, 100: Extremely succesful)","1","","","","","","","","","",slider,0_100_1,below,"",above,1 2,"","1","1","","",dimension_status_native,0,"How <b>competent</b> did you find this speaker? (0: Not competent at all, 100: Extremely competent);How <b>successful</b> did you find this speaker? (0: Not succesful  at all, 100: Extremely succesful);How <b>educated</b> did you find this speaker? (0: Not educated at all, 100: Extremely educated);How <b>smart</b> did you find this speaker? (0: Not smart at all, 100: Extremely smart);How <b>intelligent</b> did you find this speaker? (0: Not intelligent at all, 100: Extremely intelligent)",276546,46_60_78_54_79,4747,"","0",46_60_78_54_79
"457",form,"","","","","","","","",form,"",nonnative,"","",This set of questions relate to the <b>non-native</b> speaker (Ms Fiammetta). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>intelligent</b> did you find this speaker? (0: Not intelligent at all, 100: Extremely intelligent);How <b>educated</b> did you find this speaker? (0: Not educated at all, 100: Extremely educated);How <b>smart</b> did you find this speaker? (0: Not smart at all, 100: Extremely smart);How <b>competent</b> did you find this speaker? (0: Not competent at all, 100: Extremely competent);How <b>successful</b> did you find this speaker? (0: Not succesful  at all, 100: Extremely succesful)","1","","","","","","","","","",slider,0_100_1,below,"",above,2 2,"","1","1","","",dimension_status_nonnative,0,"How <b>intelligent</b> did you find this speaker? (0: Not intelligent at all, 100: Extremely intelligent);How <b>successful</b> did you find this speaker? (0: Not succesful  at all, 100: Extremely succesful);How <b>smart</b> did you find this speaker? (0: Not smart at all, 100: Extremely smart);How <b>competent</b> did you find this speaker? (0: Not competent at all, 100: Extremely competent);How <b>educated</b> did you find this speaker? (0: Not educated at all, 100: Extremely educated)",283402,48_48_46_70_68,5100,"","0",48_48_46_70_68
"458",form,"","","","","","","","",form,"",nonnative,"","",This set of questions relate to the <b>non-native</b> speaker (Ms Fiammetta). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>friendly</b> did you find this speaker? (0: Not friendly at all, 100: Extremely friendly);How <b>nice</b> did you find this speaker? (0: Not nice at all, 100: Extremely nice);How <b>pleasant</b> did you find this speaker? (0: Not pleasant at all, 100: Extremely pleasant);How <b>honest</b> did you find this speaker? (0: Not honest at all, 100: Extremely honest);How <b>sociable</b> did you find this speaker? (0: Not sociable at all, 100: Extremely sociable)","1","","","","","","","","","",slider,0_100_1,below,"",above,2 3,"","1","1","","",dimension_solidarity_nonnative,0,"How <b>pleasant</b> did you find this speaker? (0: Not pleasant at all, 100: Extremely pleasant);How <b>sociable</b> did you find this speaker? (0: Not sociable at all, 100: Extremely sociable);How <b>honest</b> did you find this speaker? (0: Not honest at all, 100: Extremely honest);How <b>nice</b> did you find this speaker? (0: Not nice at all, 100: Extremely nice);How <b>friendly</b> did you find this speaker? (0: Not friendly at all, 100: Extremely friendly)",290426,30_54_49_41_63,6490,"","0",30_54_49_41_63
"456",form,"","","","","","","","",form,"",nonnative,"","",This set of questions relate to the <b>non-native</b> speaker (Ms Fiammetta). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>annoyed</b> did you feel when you listened to this speaker? (0: Not annoyed at all, 100: Extremely annoyed);How <b>irritated</b> did you feel when you listened to this speaker? (0: Not irritated at all, 100: Extremely irritated);How <b>frustrated</b> did you feel when you listened to this speaker? (0: Not frustrated at all, 100: Extremely frustrated);How <b>interested</b> did you feel when you listened to this speaker? (0: Not interested at all, 100: Extremely interested);How <b>happy</b> did you feel when you listened to this speaker? (0: Not happy  at all, 100: Extremely happy);How <b>enthusiastic</b> did you feel when you listened to this speaker? (0: Not enthusiastic at all, 100: Extremely enthusiastic)","1","","","","","","","","","",slider,0_100_1,below,"",above,2 1,"","1","1","","",dimension_affect_nonnative,0,"How <b>interested</b> did you feel when you listened to this speaker? (0: Not interested at all, 100: Extremely interested);How <b>enthusiastic</b> did you feel when you listened to this speaker? (0: Not enthusiastic at all, 100: Extremely enthusiastic);How <b>annoyed</b> did you feel when you listened to this speaker? (0: Not annoyed at all, 100: Extremely annoyed);How <b>happy</b> did you feel when you listened to this speaker? (0: Not happy  at all, 100: Extremely happy);How <b>irritated</b> did you feel when you listened to this speaker? (0: Not irritated at all, 100: Extremely irritated);How <b>frustrated</b> did you feel when you listened to this speaker? (0: Not frustrated at all, 100: Extremely frustrated)",297082,69_60_59_57_48_43,6110,"","0",69_60_59_57_48_43
"459",form,"","","","","","","","",form,"",nonnative,"","",This set of questions relate to the <b>non-native</b> speaker (Ms Fiammetta). It is very important that you devote your entire attention to answering these questions. Click 'NEXT' to continue.,"How <b>easy was it to understand</b> this speaker? (0: Not easy at all, 100: Extremely easy);How <b>fluent</b> was this speaker? (0: Not fluent at all, 100: Extremely fluent);How <b>strong was this speaker's accent</b>? (0: Not accented at all, 100: Extremely accented);How <b>trustworthy</b> was this speaker? (0: Not trustworthy at all, 100: Extremely trustworthy)","1","","","","","","","","","",slider,0_100_1,below,"",above,2 4,"","1","1","","",dimension_rest_nonnative,0,"How <b>easy was it to understand</b> this speaker? (0: Not easy at all, 100: Extremely easy);How <b>strong was this speaker's accent</b>? (0: Not accented at all, 100: Extremely accented);How <b>fluent</b> was this speaker? (0: Not fluent at all, 100: Extremely fluent);How <b>trustworthy</b> was this speaker? (0: Not trustworthy at all, 100: Extremely trustworthy)",301467,50_44_70_59,3852,"","0",50_44_70_59
"460",form,"","","","","","","","",form,"",nonnative,"","","How used are you to foreign-accented speech in your daily life? Please, rate your daily exposure on a scale from 1 (none) to 10 (always).","","","","","","","","","","","",slider,1_10_1,below,"",above,"","","1","","","",exposure,0,"",304522,"5",2544,"","0","5"
"461",form,"","","","","","","","",form,"",native,"","","How used are you to British-accented English? Please, rate your daily exposure on a scale from 1 (none) to 10 (always).","","","","","","","","","","","",slider,1_10_1,below,"",above,"","","1","1","","",exposure,0,"",304522,"7",2544,"","0","7"
"463",form,"","","","","","","","",form,"","","","",Have you ever bet on horse races in the past?,"","","","","","","","","","","",checkboxes,Yes;No,below,"",above,"","","1","","","",bet-experience-binary,0,"",310115,No,5074,"","0","2"
"464",form,"","","","","","","","",form,"","","","",How much do you agree with the statement 'I am an expert in horse races'?,"","","","","","","","","","","",slider,Strongly disagree_Somewhat disagree_Neither disagree nor agree_Somewhat agree_Strongly agree,below,"",above,"","","1","","","",bet-knowledge,0,"",310115,Somewhat disagree,5074,"","0","2"
"465",form,"","","","","","","","",form,"",native,"","","How natural did the recordings of the <b>native speaker</b> sound to you? By naturalness, we mean whether there was anything odd in the stimuli i.e., how likely it is that their recordings were made in one go? Please rate it on a scale from 1 (very likely) to 9 (very unlikely).","","","","","","","","","","","",slider,1_9_1,below,"",above,"","","1","","","",naturalness,0,"",310115,"5",5074,"","0","5"
"466",form,"","","","","","","","",form,"",nonnative,"","","How natural did the recordings of the <b>non-native speaker</b> sound to you? By naturalness, we mean whether there was anything odd in the stimuli i.e., how likely it is that their recordings were made in one go? Please rate it on a scale from 1 (very likely) to 9 (very unlikely).","","","","","","","","","","","",slider,1_9_1,below,"",above,"","","1","","","",naturalness,0,"",310115,"7",5074,"","0","7"
"467",form,"","","","","","","","",form,"","","","",What do you think the aim of the experiment is?,"","","","","","","","","","","",box,"","","","","","","","","","",open-question-aim,0,"",310115,NA,5074,"","0",NA
"468",form,"","","","","","","","",form,"","","","","If you want to share your opinion with us, please do it here.","","","","","","","","","","","",box,"","","","","","","","","","",open-question-thoughts,0,"",310115,NA,5074,"","0",NA
